name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bangkok,2026-04-10T00:00:00,30,36.1,25,74.62,0,0,,0,0,25.6,14.9,197,1011,25,10,0,0,0,3,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T01:00:00,29.6,35.5,25,76.21,0,0,,0,0,25.2,18,187,1010,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T02:00:00,29,34.4,25,79.05,0,0,,0,0,18.7,13.6,187,1009,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T03:00:00,29,35.1,25.6,82.09,0,0,,0,0,16.2,14.1,184,1009,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T04:00:00,29,35.5,26,83.89,0,0,,0,0,13,11.2,184,1009,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T05:00:00,29,35.5,26,83.89,0,0,,0,0,12.2,13.6,186,1009,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T06:00:00,29,35.1,25.6,82.09,0,0,,0,0,12.6,11.3,167,1010,25,10,3,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T07:00:00,29.3,35.7,25.6,80.38,0,0,,0,0,16.2,13.6,167,1010,25,10,68,0.2,1,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T08:00:00,30.3,37.4,25.6,75.88,0,0,,0,0,22.7,16.9,174,1011,25,10,276,1,3,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T09:00:00,32.2,39.4,25,65.57,0,0,,0,0,23.4,15.7,184,1012,25,10,521,1.9,5,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T10:00:00,33.9,40.3,24,56.34,0,0,,0,0,23.8,13.8,193,1012,25,10,845,3,8,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T11:00:00,34.9,40.1,22.7,49.36,0,0,,0,0,25.9,14.1,212,1012,25,10,747,2.7,7,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T12:00:00,34.9,40.8,23.3,51.29,0,0,,0,0,28.8,15.7,206,1011.4,34.1,10,776,2.8,8,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T13:00:00,35.2,42.1,24,52.22,0,0,,0,0,31,15.7,187,1010.4,34.1,10,747,2.7,7,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T14:00:00,35.2,41.2,23.2,49.97,0,0,,0,0,31.3,16.6,211,1009,25,10,707,2.5,7,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T15:00:00,35.6,41.7,23.2,48.97,0,0,,0,0,33.1,17.7,197,1008,25,10,373,1.3,4,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T16:00:00,35.6,41.3,22.9,48.18,0,0,,0,0,33.5,17.2,195,1007,25,10,328,1.2,3,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T17:00:00,34.9,39,21.7,46.44,0,0,,0,0,33.5,13.8,206,1007,25,10,139,0.5,1,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T18:00:00,33.2,37.6,22.3,52.88,0,0,,0,0,32.4,16.6,197,1007.4,25,10,19,0.1,0,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
bangkok,2026-04-10T19:00:00,31.2,36.1,23.3,62.91,0,0,,0,0,28.8,16.9,175,1008,25,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T20:00:00,30.6,36.3,24.3,69.28,0,0,,0,0,24.8,17.2,194,1008,25,10,0,0,0,3,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T21:00:00,30,35.7,24.6,73.01,0,0,,0,0,25.2,16.9,200,1009,25,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T22:00:00,30,35.7,24.6,73.01,0,0,,0,0,26.6,18.4,196,1009,25,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-10T23:00:00,29,33.5,24,74.46,0,0,,0,0,29.2,18,200,1010,25,10,0,0,0,3,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-11T00:00:00,29,33.5,24,74.46,0,0,,0,0,30.6,15.4,210,1009,25,10,0,0,0,3,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-11T01:00:00,29,34.4,25,79.05,0,0,,0,0,30.6,18,204,1009,25,10,0,0,0,3,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-11T02:00:00,29,34.4,25,79.05,0,0,,0,0,24.8,13.4,194,1008,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-11T03:00:00,28.6,33.8,25,80.75,0,0,,0,0,21.6,13,177,1008,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-11T04:00:00,29,34.4,25,79.05,0,0,,0,0,16.9,11.3,174,1008,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-11T05:00:00,29,35.1,25.6,82.09,0,0,,0,0,12.6,9.4,188,1009,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-11T06:00:00,29,35.1,25.6,82.09,0,0,,0,0,9.7,10.7,170,1009,25,10,4,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
bangkok,2026-04-11T07:00:00,29,35.5,26,83.89,0,0,,0,0,11.5,9.4,171,1010,25,10,63,0.2,1,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
